section,field_key,field_label,question_text,response_type,options_pipe_delimited,show_if,display_order
dog_demographics_optional,dog_name,Dog name,What is your dog’s name?,text,,consent_dog_data = yes,1
dog_demographics_optional,dog_age_years,Dog age (years),"How old is your dog? If you are unsure, please provide your best estimate. Full years:",number,,consent_dog_data = yes,2
dog_demographics_optional,dog_age_months,Dog age (months),Additional months:,number,,consent_dog_data = yes,3
dog_demographics_optional,dog_lives_with_you,Time living with caregiver,How long has this dog lived with you?,single_select,Up to one month|Up to 6 months|Up to one year|Over one year,consent_dog_data = yes,4
dog_demographics_optional,dog_sex,Dog sex,What is your dog’s sex?,single_select,Male|Female,consent_dog_data = yes,5
dog_demographics_optional,dog_neuter_status,Neuter status,Is the dog neutered/spayed?,single_select,Yes|No|Not sure,consent_dog_data = yes,6
dog_demographics_optional,dog_breed,Breed,What is your dog’s breed? Please put “Mixed” if the dog is not a single known breed.,text,,consent_dog_data = yes,7
dog_demographics_optional,dog_weight,Approximate weight,What is your dog’s approximate weight?,single_select,10 lbs or less|11–20 lbs|20–45 lbs|45–65 lbs|65–90 lbs|90–110 lbs|Over 110 lbs|I do not know,consent_dog_data = yes,8
dog_demographics_optional,dogs_in_household,Dogs in household,How many dogs live in your household (including this dog)?,number,,consent_dog_data = yes,9
dog_demographics_optional,other_animals,Other animals in household,Do you have any other animals (other than dogs) that live in your household?,single_select_plus_text,No|Yes (please list species),consent_dog_data = yes,10
human_demographics_optional,human_living_with_dogs_years,Years living with dogs,How many years have you been living with dogs?,single_select,Less than one year|1–3 years|4–10 years|More than 10 years,consent_human_data = yes,1
human_demographics_optional,human_dog_activity,Dog-related activity,Are you involved in any dog-related professional or non-professional activity?,single_select_plus_multiselect,Yes|No,consent_human_data = yes,2
human_demographics_optional,human_dog_activity_types,Activity type,Please specify,multi_select,Veterinarian|Dog trainer|Dog behavior consultant|Dog-related researcher|Groomer|Dog sitter / dog walker|Volunteer|Other,consent_human_data = yes AND human_dog_activity = Yes,3
human_demographics_optional,human_work_with_dogs_years,Years working with dogs,How many years have you been working with dogs professionally?,single_select,Less than one year|1–3 years|3–10 years|More than 10 years,consent_human_data = yes AND human_dog_activity = Yes,4
human_demographics_optional,human_education,Education,What is the highest level of education you have completed?,single_select,"Some high school or less|High school diploma or GED|Some college, but no degree|Associate or technical degree|Bachelor’s degree|Graduate or professional degree|Prefer not to say",consent_human_data = yes,5
human_demographics_optional,human_age_band,Age,How old are you?,single_select,18–24 years old|25–34 years old|35–44 years old|45–54 years old|55–64 years old|65+ years old|Prefer not to say,consent_human_data = yes,6
human_demographics_optional,human_gender,Gender,How do you describe yourself?,single_select,Male|Female|Non-binary / third gender|Prefer to self-describe|Prefer not to say,consent_human_data = yes,7
human_demographics_optional,future_contact,Future contact permission,Would you like to be notified about future study opportunities or receive updates about study findings?,single_select,No|Yes,consent_human_data = yes,8
human_demographics_optional,contact_name,Contact name,What is your name (first and last)?,text,,consent_human_data = yes AND future_contact = Yes,9
human_demographics_optional,contact_email,Email,What is your email address?,email,,consent_human_data = yes AND future_contact = Yes,10
human_demographics_optional,corvallis_distance,Location for local studies,"Are you and your dog located within driving distance of Corvallis, Oregon?",single_select,"No, but let me know about future surveys or remote opportunities|Yes, let me know about local opportunities|Do not contact me about future studies",consent_human_data = yes AND future_contact = Yes,11
general_health_module,gh_symptoms,General Health symptoms,Have you noticed any of the following symptoms in your dog recently? Please check all that apply.,multi_select,"Quality of coat has become worse (dull, faded, falls out, dandruff, other)|Significantly lost weight|Bad body or breath smell|Problems with stomach (constipation, diarrhea, vomiting, other)|For females: unusual behavior during heat or changes in heat frequency|For males: becoming visibly excited without the presence of female dogs in heat or their scent|Other (please describe)|No, nothing like this",,1
general_health_module,gh_length,General Health duration,When did you first observe it?,single_select,Less than a week ago|Less than a month ago|Over a month ago|It varies / Other,,2
